token,type,score,cummulative percentage,english
ül,VERB,58,38.1,"1 - (intransitive) to sit, to be in a sitting position##2 - (transitive, informal) to serve time##3 - (ambitransitive, of a feeling or quality) to appear, to be there##4 - (transitive, with an explicit object, literary) to celebrate, feast##5 - (informal) hit home, strike a chord (to get the desired effect, as of a joke)"
fog,VERB,58,38.23,"1 - (transitive) to hold (to keep in one’s hands)##2 - (transitive) to take (to get into one’s hands)##3 - (transitive) to catch, to capture (to seize by force, especially to grab or trap an animal)##4 - (transitive, broadcasting) to receive (to detect a signal from a transmitter)##5 - (transitive, by extension, slang) to listen to, to hear, to understand (to pay attention to someone)##6 - (ambitransitive followed by rajta) to affect, to harm (to have an effect on, especially detrimentally)##7 - (intransitive) to write (of a pen or other writing instrument, to leave a mark)##8 - (transitive) to cut (of a tool: to exert its effect on the material used in performing a task)##9 - (intransitive) to transfer (of ink or dye, to leave a stain upon contact)##10 - (transitive, ball games) to mark (to follow a player not in possession of the ball when defending)##11 - (auxiliary, with an infinitive, only in present indicative) will, going to (used to form the future tense)##12 - (reflexively, as fogja magát, with definite conjugation) to up and (to do something abruptly or unexpectedly)"
ujj,NOUN,58,38.36,"1 - finger, toe, digit (whether on hands or feet; inclusive of the thumb)####1 - sleeve"
megint,ADV,58,38.49,1 - again (having already happened before)
nagy,ADJ,58,38.62,"1 - big, great##2 - (letter) capital, uppercase"
hadsegéd,NOUN,58,38.75,
fia,NOUN,58,38.88,"1 - (with a possessive suffix) third-person singular single-possession possessive of fiú (“boy, son”): one’s son (irregular possessive-suffixed form specifically referring to a son)"
ház,NOUN,57,39.01,"1 - house, building (closed structure with walls and a roof)##2 - (in set phrases) home (the place of one’s dwelling, the house where one lives)##3 - the residents of a house collectively##4 - family, dynasty, house (family with its ancestors and descendants, especially a royal or noble one)##5 - (politics) house, parliament (legislative or deliberative assembly)##6 - home, base, home base (safe zone in the children’s game of tag)##7 - (astrology) house (one of the twelve divisions of an astrological chart)"
kicsi,ADJ,57,39.14,"1 - little, small##2 - in one's childhood (often used with kor)"
megszólal,VERB,57,39.27,"1 - (intransitive) to start speaking##2 - (intransitive, of a phone, TV, radio etc.) to start ringing or emitting sound"
csata,NOUN,57,39.4,1 - battle
harc,NOUN,56,39.52,"1 - battle, fight"
darab,NOUN,55,39.65,"1 - piece, chunk##2 - (music) piece##3 - (theater) synonym of színdarab, play, drama##4 - (mainly in the form darabig, with egy or jó) some while"
odamegy,VERB,55,39.77,"**MEGY**1 - (intransitive) to go, travel (whether on foot or by any vehicle)##2 - (intransitive) to work, operate, function##3 - (intransitive, chiefly with így (“in this way”)) to happen, turn out##4 - (intransitive, informal) to succeed (to turn out successfully)##5 - (intransitive) to fit onto or into something (with -ra/-re or -ba/-be)##6 - (intransitive, of thorn, splinter, dirt, insects, etc.) to get into (with -ba/-be)##7 - (intransitive, of programmes, shows, performances) to be on##8 - (intransitive) to go with, match (with -hoz/-hez/-höz)##9 - (intransitive, with professions) to become (with -nak/-nek)##10 - (intransitive, of time) to go by, pass by"
cédula,NOUN,55,39.9,1 - a small slip of paper
nevet,VERB,54,40.02,1 - (ambitransitive) to laugh (at something or someone -n/-on/-en/-ön)
zseb,NOUN,53,40.14,1 - pocket
támad,VERB,53,40.26,"1 - (intransitive) to arise, originate, occur, crop up##2 - (ambitransitive) to attack, assail, assault, tackle (a person or another being: -t/-ot/-at/-et/-öt, -ra/-re, or -nak/-nek)"
történik,VERB,52,40.38,"1 - (intransitive, in the third person) to happen (to occur)"
tó,NOUN,52,40.49,1 - lake
fél,NOUN,51,40.61,"1 - half; either part of something divided into two##2 - a point or line marking and separating two equal halves of a distance or an area##3 - either side (of a body or some enclosed space)##4 - (with a possessive suffix) (archaic) fellow man, fellow (human) being, neighbour##5 - client, customer##6 - party, participant (one of persons or groups having some legal, social, etc. connection with each other)####1 - (rare, only in some compounds) post (as in doorpost)"
szeret,VERB,50,40.72,1 - (transitive) to love##2 - (transitive) to like
komoly,ADJ,50,40.84,"1 - serious, grave, severe##2 - stern, solemn (face)##3 - sincere, earnest"
haditerv,NOUN,50,40.95,
láb,NOUN,49,41.06,"1 - leg (of a human or an animal)##2 - foot (of a human or an animal)##3 - leg (of an object, e.g. a table or a bed)##4 - foot (of a mountain)##5 - support, stand (of an object)##6 - pier, pillar (of a bridge)"
kimegy,VERB,49,41.17,1 - (intransitive) to exit (to go out)
tetszik,VERB,49,41.28,"1 - (intransitive) to appeal, to be liked##2 - (auxiliary with a verb in the infinitive) Used to indicate politeness towards the elderly or sometimes towards customers.##3 - (intransitive, archaic) to seem, to appear (-nak/-nek)"
áruló,NOUN,49,41.39,1 - traitor
roham,NOUN,49,41.5,1 - attack
hagy,VERB,48,41.61,"1 - (transitive) to let, to allow##2 - (transitive) to leave (something somewhere)##3 - (transitive) to leave, to bequeath something to someone (-ra/-re)"
kisfiú,NOUN,48,41.72,"1 - boy, little boy (a young male human under 10-12 years of age)##2 - son, baby boy (someone's young male child under 10-12 years of age)##3 - (colloquial, derogatory, of a person) lacking sufficient power, position, skill, or value to do/achieve something (-hoz/-hez/-höz)"
háború,NOUN,48,41.83,1 - war (conflict involving organized use of arms)
vigyáz,VERB,46,41.93,"1 - (intransitive) to be careful about something (-val/-vel)##2 - (intransitive) to guard, to protect, to take care of something or someone (-ra/-re)##3 - (intransitive) to mind (one's body part, not to get injured) (-ra/-re)##4 - (transitive, archaic, folksy) to watch, observe, pay attention to someone or something"
eltűnik,VERB,46,42.04,1 - (intransitive) to disappear
szegény,ADJ,46,42.14,"1 - poor (with little or no possessions or money)##2 - (endearing) poor (pitiable, used to express pity or compassion)##3 - (figuratively) poor in, low in (deficient in a specified way; in something: -ban/-ben)##4 - (figuratively, of a deceased person) late (used when speaking of the dead person)"
kedv,NOUN,46,42.24,"1 - spirit, humour, mood, temper##2 - disposition, fancy, liking, interestedness, desire, affinity, feeling like (-hoz/-hez/-höz)##3 - (in the fixed form kedvéért) sake, as in for the sake of"
idő,NOUN,46,42.35,"1 - a concept relating to the temporal dimension#time (the progression into the future with the passing of events into the past)##2 - a concept relating to the temporal dimension#time (numerical or general indication of a quantity of time)##3 - a concept relating to the temporal dimension#time (the present moment as indicated by a clock)##4 - a concept relating to the temporal dimension#time (the appropriate moment or hour for something)##5 - a concept relating to the temporal dimension#time zone (range of longitudes where a common standard time is used)##6 - a concept relating to the temporal dimension#(in the plural or possessive) era, time (time period of indeterminate length, generally more than one year)##7 - a concept relating to the temporal dimension#(in the possessive) one’s time (a person’s youth or young adulthood, as opposed to the present day)##8 - a concept relating to the temporal dimension#(sports) time-out (short break in the action of a sport)##9 - a concept relating to the temporal dimension#(grammar) tense (any of the forms of a verb which distinguish when an action occurs)##10 - weather (short-term state of the atmosphere at a specific time and place)"
emel,VERB,46,42.45,"1 - (transitive) to lift, raise, hoist##2 - (transitive) to erect (a wall, statue etc.)"
sapka,NOUN,46,42.56,"1 - beanie##2 - cap, skullcap, bonnet (a close-fitting head covering without a brim)##3 - cap (a protective cover or seal)"
indul,VERB,45,42.66,"1 - (intransitive) to set off, set out, head somewhere (begin a trip)##2 - (intransitive) to start (in the passive sense)##3 - (intransitive) to run (to be a candidate in an election)"
mind,PRON,45,42.76,
őrszem,NOUN,45,42.86,
levegő,NOUN,44,42.96,1 - air
igaz,NOUN,44,43.06,"1 - (in certain phrases) truth##2 - (in certain phrases, chiefly with a possessive suffix) justice, rightful claim##3 - (chiefly in the plural) righteous person"
tető,NOUN,44,43.16,"1 - roof##2 - lid, upper cover##3 - (chiefly with a possessive suffix) top, peak, summit (the highest or uppermost part of something)##4 - (with a possessive suffix) ne plus ultra, pinnacle (the utmost level of something outrageous)##5 - (with a possessive suffix) point (a purpose or objective, which makes something meaningful)"
szalutál,VERB,44,43.26,1 - (intransitive) to salute
rákiált,VERB,44,43.36,**KIÁLT**1 - (transitive) to shout (to give a single shout)
fegyver,NOUN,44,43.46,1 - weapon
siet,VERB,44,43.56,1 - (intransitive) to hurry##2 - (intransitive) to be fast (of clock or watch: ahead of the correct time)
sánc,NOUN,44,43.66,"1 - rampart, mound, entrenchment##2 - (skiing) inrun (the approach ramp of a ski jump)##3 - (volleyball) block (a defensive play to deflect a spiked ball back to the hitter’s court)"
sír,VERB,43,43.75,"1 - (intransitive) to cry, to weep"
fekszik,VERB,43,43.85,1 - (intransitive) to lie (to be in a horizontal position)
élet,NOUN,42,43.95,"1 - life (the state of organisms preceding their death, characterized by biological processes such as metabolism and reproduction and distinguishing them from inanimate objects; the state of being alive and living)##2 - life (the period during which one (a person, an animal, a plant; a civilization, species; a star; etc) is alive)##3 - life (existence)##4 - life (lifeforms, generally or collectively)##5 - (video games) life (one of the player's chances to play, lost when the player's character dies or when certain mistakes are made)"
kinyit,VERB,42,44.04,1 - (transitive) to open (causing something to be accessible or making a folding tool or part of the body ready for use)
